Nome da rede,Acuracia,Precisao,Recall,Camadas,neuronios,learning_rate,momentum
C1N2L3M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.3
C1N2L3M4,0.7160493731498718,0.695364236831665,1.0,1,2,0.3,0.4
C1N2L3M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.5
C1N2L3M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.6
C1N2L3M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.7
C1N2L4M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.3
C1N2L4M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.4
C1N2L4M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.5
C1N2L4M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.6
C1N2L4M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.7
C1N2L5M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.3
C1N2L5M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.4
C1N2L5M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.5
C1N2L5M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.6
C1N2L5M7,0.5370370149612427,0.96875,0.29523810744285583,1,2,0.5,0.7
C1N2L6M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.3
C1N2L6M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.4
C1N2L6M5,0.7160493731498718,0.695364236831665,1.0,1,2,0.6,0.5
C1N2L6M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.6
C1N2L6M7,0.5864197611808777,0.8518518805503845,0.43809524178504944,1,2,0.6,0.7
C1N2L7M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.3
C1N2L7M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.4
C1N2L7M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.5
C1N2L7M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.6
C1N2L7M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.7
C1N4L3M3,0.6728395223617554,0.6645569801330566,1.0,1,4,0.3,0.3
C1N4L3M4,0.6481481194496155,0.6481481194496155,1.0,1,4,0.3,0.4
C1N4L3M5,0.709876537322998,0.6907894611358643,1.0,1,4,0.3,0.5
C1N4L3M6,0.709876537322998,0.6907894611358643,1.0,1,4,0.3,0.6
C1N4L3M7,0.6851851940155029,0.6985294222831726,0.9047619104385376,1,4,0.3,0.7
C1N4L4M3,0.6358024477958679,0.6716417670249939,0.8571428656578064,1,4,0.4,0.3
C1N4L4M4,0.6481481194496155,0.6481481194496155,1.0,1,4,0.4,0.4
C1N4L4M5,0.6975308656692505,0.6866666674613953,0.9809523820877075,1,4,0.4,0.5
C1N4L4M6,0.6913580298423767,0.6896551847457886,0.9523809552192688,1,4,0.4,0.6
