Nome da rede,Acuracia,Precisao,Recall,Camadas,neuronios,learning_rate,momentum
C1N2L3M3,0.6666666865348816,0.6603773832321167,1.0,1,2,0.3,0.3
C1N2L3M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.4
C1N2L3M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.5
C1N2L3M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.6
C1N2L3M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.7
C1N2L4M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.3
C1N2L4M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.4
C1N2L4M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.5
C1N2L4M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.6
C1N2L4M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.7
C1N2L5M3,0.7037037014961243,0.686274528503418,1.0,1,2,0.5,0.3
C1N2L5M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.4
C1N2L5M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.5
C1N2L5M6,0.6604938507080078,0.7906976938247681,0.6476190686225891,1,2,0.5,0.6
C1N2L5M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.7
C1N2L6M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.3
C1N2L6M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.4
C1N2L6M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.5
C1N2L6M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.6
C1N2L6M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.7
C1N2L7M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.3
C1N2L7M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.4
C1N2L7M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.5
C1N2L7M6,0.7160493731498718,0.695364236831665,1.0,1,2,0.7,0.6
C1N2L7M7,0.5,0.8157894611358643,0.29523810744285583,1,2,0.7,0.7
C1N4L3M3,0.7222222089767456,0.7459016442298889,0.8666666746139526,1,4,0.3,0.3
C1N4L3M4,0.6481481194496155,0.6481481194496155,1.0,1,4,0.3,0.4
C1N4L3M5,0.6975308656692505,0.6917808055877686,0.961904764175415,1,4,0.3,0.5
C1N4L3M6,0.7160493731498718,0.695364236831665,1.0,1,4,0.3,0.6
C1N4L3M7,0.6481481194496155,0.6481481194496155,1.0,1,4,0.3,0.7
C1N4L4M3,0.6975308656692505,0.6818181872367859,1.0,1,4,0.4,0.3
C1N4L4M4,0.6481481194496155,0.6481481194496155,1.0,1,4,0.4,0.4
