Nome da rede,Acuracia,Precisao,Recall,Camadas,neuronios,learning_rate,momentum
C1N2L3M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.3
C1N2L3M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.4
C1N2L3M5,0.6913580298423767,0.6896551847457886,0.9523809552192688,1,2,0.3,0.5
C1N2L3M6,0.7222222089767456,0.699999988079071,1.0,1,2,0.3,0.6
C1N2L3M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.7
C1N2L4M3,0.6419752836227417,0.6740740537643433,0.8666666746139526,1,2,0.4,0.3
C1N2L4M4,0.7160493731498718,0.695364236831665,1.0,1,2,0.4,0.4
C1N2L4M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.5
C1N2L4M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.6
C1N2L4M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.7
C1N2L5M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.3
C1N2L5M4,0.7037037014961243,0.6938775777816772,0.9714285731315613,1,2,0.5,0.4
C1N2L5M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.5
C1N2L5M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.6
C1N2L5M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.7
C1N2L6M3,0.5246913433074951,1.0,0.2666666805744171,1,2,0.6,0.3
C1N2L6M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.4
C1N2L6M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.5
C1N2L6M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.6
C1N2L6M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.7
C1N2L7M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.3
C1N2L7M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.4
C1N2L7M5,0.7037037014961243,0.6912751793861389,0.9809523820877075,1,2,0.7,0.5
C1N2L7M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.6
C1N2L7M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.7
C1N4L3M3,0.6481481194496155,0.6481481194496155,1.0,1,4,0.3,0.3
C1N4L3M4,0.6419752836227417,0.7473683953285217,0.6761904954910278,1,4,0.3,0.4
C1N4L3M5,0.6913580298423767,0.6774193644523621,1.0,1,4,0.3,0.5
C1N4L3M6,0.6481481194496155,0.6481481194496155,1.0,1,4,0.3,0.6
C1N4L3M7,0.6481481194496155,0.6481481194496155,1.0,1,4,0.3,0.7
C1N4L4M3,0.6666666865348816,0.6808510422706604,0.9142857193946838,1,4,0.4,0.3
C1N4L4M4,0.6975308656692505,0.6891891956329346,0.9714285731315613,1,4,0.4,0.4
C1N4L4M5,0.6604938507080078,0.65625,1.0,1,4,0.4,0.5
C1N4L4M6,0.6481481194496155,0.6481481194496155,1.0,1,4,0.4,0.6
C1N4L4M7,0.6481481194496155,0.6481481194496155,1.0,1,4,0.4,0.7
C1N4L5M3,0.6172839403152466,0.6692913174629211,0.8095238208770752,1,4,0.5,0.3
C1N4L5M4,0.709876537322998,0.7685185074806213,0.7904762029647827,1,4,0.5,0.4
C1N4L5M5,0.6172839403152466,0.6641221642494202,0.8285714387893677,1,4,0.5,0.5
C1N4L5M6,0.6481481194496155,0.6481481194496155,1.0,1,4,0.5,0.6
