Nome da rede,Acuracia,Precisao,Recall,Camadas,neuronios,learning_rate,momentum
C1N2L3M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.3
C1N2L3M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.4
C1N2L3M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.5
C1N2L3M6,0.7160493731498718,0.695364236831665,1.0,1,2,0.3,0.6
C1N2L3M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.3,0.7
C1N2L4M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.3
C1N2L4M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.4
C1N2L4M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.5
C1N2L4M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.6
C1N2L4M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.4,0.7
C1N2L5M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.3
C1N2L5M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.4
C1N2L5M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.5
C1N2L5M6,0.6296296119689941,0.692307710647583,0.7714285850524902,1,2,0.5,0.6
C1N2L5M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.5,0.7
C1N2L6M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.3
C1N2L6M4,0.7160493731498718,0.695364236831665,1.0,1,2,0.6,0.4
C1N2L6M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.5
C1N2L6M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.6
C1N2L6M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.6,0.7
C1N2L7M3,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.3
C1N2L7M4,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.4
C1N2L7M5,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.5
C1N2L7M6,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.6
C1N2L7M7,0.6481481194496155,0.6481481194496155,1.0,1,2,0.7,0.7
C1N4L3M3,0.6481481194496155,0.6481481194496155,1.0,1,4,0.3,0.3
C1N4L3M4,0.709876537322998,0.6933333277702332,0.9904761910438538,1,4,0.3,0.4
C1N4L3M5,0.6481481194496155,0.6481481194496155,1.0,1,4,0.3,0.5
C1N4L3M6,0.5864197611808777,0.9318181872367859,0.39047619700431824,1,4,0.3,0.6
C1N4L3M7,0.5185185074806213,0.9090909361839294,0.2857142984867096,1,4,0.3,0.7
C1N4L4M3,0.6481481194496155,0.6481481194496155,1.0,1,4,0.4,0.3
C1N4L4M4,0.6913580298423767,0.6821191906929016,0.9809523820877075,1,4,0.4,0.4
C1N4L4M5,0.6481481194496155,0.6481481194496155,1.0,1,4,0.4,0.5
C1N4L4M6,0.6481481194496155,0.6481481194496155,1.0,1,4,0.4,0.6
C1N4L4M7,0.6481481194496155,0.6481481194496155,1.0,1,4,0.4,0.7
C1N4L5M3,0.6481481194496155,0.6481481194496155,1.0,1,4,0.5,0.3
C1N4L5M4,0.6481481194496155,0.6481481194496155,1.0,1,4,0.5,0.4
C1N4L5M5,0.7037037014961243,0.6887417435646057,0.9904761910438538,1,4,0.5,0.5
C1N4L5M6,0.48148149251937866,0.6060606241226196,0.5714285969734192,1,4,0.5,0.6
